text,label
"I feel overwhelmed with deadlines and cannot sleep at night",Stress
"Work pressure is crushing me and my heart races constantly",Stress
"I am so stressed about exams I cannot focus on anything",Stress
"My mind keeps racing and I worry something bad will happen",Anxiety
"I feel nervous in crowds and my palms get sweaty",Anxiety
"What if everything goes wrong I cannot stop thinking about it",Anxiety
"I feel empty and nothing brings me joy anymore",Depression
"I have no energy to get out of bed most days",Depression
"Life feels hopeless and I struggle to see the point",Depression
"The weather is nice and I enjoyed my walk today",Neutral
"I will attend the meeting at 3pm tomorrow",Neutral
"This is a neutral statement about scheduling tasks",Neutral
"I feel a bit tired but overall the day was okay",Neutral
